feature_group,horizon_checkups,mean_condition_mean_mae,mean_mae,mean_rmse,mean_worst_condition_mae,metric_rows,model_level,split_name,target,total_test_rows
persistence,1,0.14814665451795436,0.07891953097560689,0.14299590204138607,0.4455759425213675,12,MH0_persistence,all,capacity_Ah_kh,10365
prior_slope,1,0.09153932377533948,0.0430479791862089,0.09908491895051709,0.31973998669871795,12,MH1_prior_slope_linear,all,capacity_Ah_kh,10365
K0_prior_capacity,1,0.1183844278669322,0.07079596517537746,0.11855928462158771,0.36671022242658274,12,MH2_ridge,all,capacity_Ah_kh,10365
K1_prior_state_time,1,0.08878783784754828,0.04864031454739892,0.09810425139945445,0.3157507889919896,12,MH2_ridge,all,capacity_Ah_kh,10365
K2_nominal_condition,1,0.08584212369489956,0.05089137789139986,0.09479727711266224,0.2756277944684457,12,MH2_ridge,all,capacity_Ah_kh,10365
K4_prior_trajectory_shape,1,0.08829953591658675,0.0492637189529298,0.10029575288746856,0.31285008654131374,12,MH2_ridge,all,capacity_Ah_kh,10365
K5_nominal_plus_trajectory_shape,1,0.08959916337176177,0.05648763862147465,0.10202310641777895,0.2734805813945916,12,MH2_ridge,all,capacity_Ah_kh,10365
K0_prior_capacity,1,0.09519245046585673,0.05429726333069023,0.1085354389687795,0.30166338436301593,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,10365
K1_prior_state_time,1,0.08999309194710059,0.0527355110300354,0.10283959109396866,0.28339242108541635,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,10365
K2_nominal_condition,1,0.07802938448942826,0.04670397143405882,0.09384155017011452,0.2391216432178168,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,10365
K4_prior_trajectory_shape,1,0.09007872710972868,0.052744073432055893,0.10340567085043124,0.28602419089337416,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,10365
K5_nominal_plus_trajectory_shape,1,0.07992849508599056,0.04814278813214237,0.09648607220853421,0.24063559178927052,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,10365
persistence,2,0.2864704461719895,0.13545881613719338,0.22415784902240357,0.8880281630555555,12,MH0_persistence,all,capacity_Ah_kh,9723
prior_slope,2,0.21616671412891375,0.07934276166153398,0.16798743118821305,0.8460663630555557,12,MH1_prior_slope_linear,all,capacity_Ah_kh,9723
K0_prior_capacity,2,0.22860726723821165,0.11242432115689278,0.18140984804605853,0.7688845657544169,12,MH2_ridge,all,capacity_Ah_kh,9723
K1_prior_state_time,2,0.20160079368081762,0.09076504144644164,0.16253111935085027,0.7260808577693695,12,MH2_ridge,all,capacity_Ah_kh,9723
K2_nominal_condition,2,0.17169418134358147,0.09306841334653655,0.14920837618841926,0.5333763871460694,12,MH2_ridge,all,capacity_Ah_kh,9723
K4_prior_trajectory_shape,2,0.18591326692091836,0.08330406131477948,0.15756352604768978,0.6737316129210438,12,MH2_ridge,all,capacity_Ah_kh,9723
K5_nominal_plus_trajectory_shape,2,0.1696930379458993,0.10044823571762747,0.15705344488478232,0.495412373529238,12,MH2_ridge,all,capacity_Ah_kh,9723
K0_prior_capacity,2,0.19838783499266788,0.095520865170647,0.17463975941615392,0.6874958092850901,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9723
K1_prior_state_time,2,0.18844673914372387,0.08643401956938267,0.16231289312145072,0.6845938343059629,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9723
K2_nominal_condition,2,0.1403077794168874,0.0773609496377813,0.14327199561655776,0.44146587345767174,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9723
K4_prior_trajectory_shape,2,0.18664364024701263,0.08613128097924005,0.16008466356691484,0.6714879564625434,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9723
K5_nominal_plus_trajectory_shape,2,0.13999993328885052,0.07646128275548698,0.1424834190371253,0.4469609842812537,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9723
persistence,3,0.2892065157069269,0.16619467913951227,0.2582612539332681,0.8342088747053872,12,MH0_persistence,all,capacity_Ah_kh,9089
prior_slope,3,0.1874776156873855,0.09323291675860935,0.18236844128478744,0.6480419185185186,12,MH1_prior_slope_linear,all,capacity_Ah_kh,9089
K0_prior_capacity,3,0.2118140518355601,0.12693101242806323,0.19995470779500288,0.664479847013549,12,MH2_ridge,all,capacity_Ah_kh,9089
K1_prior_state_time,3,0.1827093301449374,0.10719415808490866,0.18153898982133934,0.5581753041328885,12,MH2_ridge,all,capacity_Ah_kh,9089
K2_nominal_condition,3,0.1607256493256943,0.10477792060480538,0.16770491169796733,0.48081752639117475,12,MH2_ridge,all,capacity_Ah_kh,9089
K4_prior_trajectory_shape,3,0.17253815862406374,0.1001708457313301,0.17859116827444596,0.5334928711139836,12,MH2_ridge,all,capacity_Ah_kh,9089
K5_nominal_plus_trajectory_shape,3,0.15748257868889404,0.10561817026978308,0.1681970932396091,0.4780838279057777,12,MH2_ridge,all,capacity_Ah_kh,9089
K0_prior_capacity,3,0.1724687864432862,0.10662032589749454,0.1829565292867897,0.4869817796779248,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9089
K1_prior_state_time,3,0.16740066884050733,0.10029740469424285,0.17621071339071878,0.49199864006365507,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9089
K2_nominal_condition,3,0.15325094231913616,0.09353041291001336,0.168529454985768,0.47744840400836774,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9089
K4_prior_trajectory_shape,3,0.16728577605216635,0.10374130748486476,0.17503496642803362,0.47127348001815594,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9089
K5_nominal_plus_trajectory_shape,3,0.15549219253482222,0.09812408313172888,0.16984590972342536,0.4580263987908033,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9089
persistence,5,0.4508759875411789,0.2204815185860078,0.32160974227196193,1.4352063991161617,12,MH0_persistence,all,capacity_Ah_kh,7975
prior_slope,5,0.340875127498706,0.13151539633829687,0.24826359467150574,1.375645525378788,12,MH1_prior_slope_linear,all,capacity_Ah_kh,7975
K0_prior_capacity,5,0.33440998907116976,0.1532284472664159,0.24184045590894696,1.2299864674999184,12,MH2_ridge,all,capacity_Ah_kh,7975
K1_prior_state_time,5,0.30877577256058314,0.1419052423804503,0.23148231614001405,1.157639715444428,12,MH2_ridge,all,capacity_Ah_kh,7975
K2_nominal_condition,5,0.25994648199350306,0.13757074962039492,0.21354258808457394,0.9137575116483719,12,MH2_ridge,all,capacity_Ah_kh,7975
K4_prior_trajectory_shape,5,0.288053707200737,0.1308234096348347,0.2253269258891936,1.0658828184355285,12,MH2_ridge,all,capacity_Ah_kh,7975
K5_nominal_plus_trajectory_shape,5,0.2501420996658866,0.13729055023433206,0.21276538504029915,0.8475076308556849,12,MH2_ridge,all,capacity_Ah_kh,7975
K0_prior_capacity,5,0.2839848446211592,0.1349153579243794,0.22781595475342178,1.0853828409896458,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,7975
K1_prior_state_time,5,0.2780369509218295,0.12506433131925523,0.21956881374340342,1.0887998465139483,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,7975
K2_nominal_condition,5,0.261421330151915,0.12376108550995611,0.21410968488105017,0.9720445043679485,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,7975
K4_prior_trajectory_shape,5,0.2845286863580126,0.13584127314139333,0.22506867671050915,1.0914731564344096,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,7975
K5_nominal_plus_trajectory_shape,5,0.2610212538096285,0.12555575093784632,0.21435461251359741,0.9739461540713429,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,7975
persistence,1,0.14814665451795436,0.07891953097560689,0.14299590204138607,0.4455759425213675,12,MH0_persistence,all,delta_capacity_Ah_h,10365
prior_slope,1,0.09153932377533948,0.0430479791862089,0.09908491895051709,0.31973998669871795,12,MH1_prior_slope_linear,all,delta_capacity_Ah_h,10365
K0_prior_capacity,1,0.118417233344296,0.07083429884153335,0.1185786620193069,0.36674557148819287,12,MH2_ridge,all,delta_capacity_Ah_h,10365
